iterID,x1,x2,x3,x4,x5,x6,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
5,49.73204780520257,0.0,60000.0,13377.262095660104,23.458768136453457,13.230799588360354,-73377.26209566009,8715.140388711417,-73387.47660793441,0.012790613734377294,0.4084851762818289,232.15538389237554,0.39215375566137656,-1.473587396270637,3588062714.3423486
5,0.0,0.0,60000.0,33557.47306243295,33.0,55.34268430607101,-93557.47306243291,28058.676638825356,-93566.79843694561,0.008548633224964953,-0.39300001613059976,26699.46425099137,0.7808931364148737,0.022797932694929607,3588062714.3423486
6,50.0,0.0,60000.0,60045.0,0.0,100.0,-120045.0,56420.072286437855,-119997.4868008937,0.013549636501843815,-1.486082602584247,34056.2508359657,0.8053262040292203,0.48913527933679846,3646500270.435388
6,48.27211801472548,0.0,60000.0,12998.856701602443,2.5980347105051043,14.451521974156718,-72998.85670160245,7614.997189765632,-72994.63183152296,0.0,0.46581125741522555,-934.0457778812452,0.3705165491717139,-1.580895155708495,3646500270.435388
6,8.820105856772946,0.0,60000.0,26056.479648020915,13.65145272235701,69.05735850141264,-86056.47964802089,27063.943092602105,-86054.98137511159,0.0,-0.07654762908623525,14333.716067462374,0.5101046825639041,-0.6776524069066048,3646500270.435388
6,0.0,0.0,60000.0,41044.48699434271,33.0,0.0,-101044.48699434267,41132.94796279574,-101047.96964355027,0.0025854073643481914,-0.6991634630239787,31107.96366337998,0.8076216258205131,0.3147142321002088,3646500270.435388
6,2.5293382278579717,0.0,60000.0,30400.874470466664,5.8529151490636036,66.52417451855409,-90400.87447046668,18046.571504372805,-90396.65163896763,0.0,-0.2568447522223778,22230.787120277164,0.7333108243447102,-0.2104606706532854,3646500270.435388
7,47.264717083860624,50.0,60000.0,44293.7368362481,0.0,53.812732209156344,-104293.7368362481,37858.913333856806,-104302.5080977542,0.005559799848731596,-0.8003217580662749,36500.33463287217,0.6920451314893789,0.5939906640335454,3790630797.346277
7,17.63826242191074,0.0,60000.0,20500.27399460792,20.605917207392118,69.56807768467395,-80500.27399460792,15094.973557399286,-80500.81305855418,0.0,0.21960104806930758,4795.582764640978,0.17707990852155997,-1.270146206316849,3790630797.346277
7,46.10353806890664,0.0,60000.0,35463.801190976264,0.0,80.54799051390638,-95463.80119097626,30439.409593182878,-95470.85228937773,0.0,-0.42187782119253825,25606.23785542823,0.6730423623567597,-0.0465469927947289,3790630797.346277
7,5.386016564644143,0.0,60000.0,57716.93389552826,33.0,100.0,-117716.9338955283,45334.977010985705,-117712.0757171287,0.0,-1.3749330961618398,39439.832782784695,0.2873998859477519,0.7668236483241246,3790630797.346277
7,50.0,0.0,60000.0,11.847626429874481,0.0,0.0,-60011.84762642988,-4564.780175665904,-60012.15672364867,0.0,1.0975573376792909,-2656.93091020445,0.04223585172176241,-1.708329907479653,3790630797.346277
8,35.72679522482722,8.892104064857275,60000.0,58956.946296521404,33.0,100.0,-118956.94629652145,49455.75142595387,-118965.88347094468,0.012251768635325596,-1.4159074872295605,33745.629708105116,0.17576671367691307,0.44077516146928986,3794367895.7642684
8,11.250010729915742,0.0,60000.0,21696.919905378476,33.0,100.0,-81696.9199053785,17789.916691082322,-81701.7050326099,0.0,0.20288459418225102,3859.0197677400356,0.17847881195545914,-1.305560146930226,3794367895.7642684
8,15.537706116288428,0.0,60000.0,51441.680975767486,0.0,0.0,-111441.68097576754,49452.44601496765,-111438.31594695381,0.010094996451688201,-1.0889026474396815,31402.251690958215,0.864306490408338,0.3038468253202053,3794367895.7642684
8,6.1649191050605125,0.0,60000.0,31909.948193145032,0.0,61.99464345211759,-91909.94819314501,25620.615081417574,-91910.4094477168,0.005136709981521036,-0.24059143457270693,21165.009779310796,0.5119619030118309,-0.29433600794893533,3794367895.7642684
8,30.11376828191518,0.0,60000.0,22456.946903353262,33.0,100.0,-82456.9469033533,18864.62206463168,-82460.11780381757,0.00927023533867777,0.16993840725626796,9875.491903432749,0.40593943685731065,-0.954005462624212,3794367895.7642684
9,0.0,0.0,60000.0,60040.39221272725,33.0,100.0,-120040.39221272728,52549.93084681709,-120034.64210113553,0.0,-1.4388133070842741,32116.422300637405,0.25982954524212454,0.3096875060405839,3794367895.7642684
9,0.0,0.0,60000.0,22410.011762260943,4.687301662824268,66.20305104796299,-82410.01176226094,23062.708262599335,-82411.73718781429,0.0034452713106910104,0.2294043648726074,4757.545944867619,0.19409368401530683,-1.3061044957310521,3794367895.7642684
9,34.84807762246592,1.993885337374623,60000.0,8636.203484406798,1.8298996945551744,21.708582049704162,-68636.2034844068,14145.361133967086,-68636.68147381289,0.003222443682314873,0.8401969505921443,409.6388971902197,0.21448875667288286,-1.5628881933042926,3794367895.7642684
9,0.0,0.0,60000.0,30370.03410053683,0.0,77.44372665506818,-90370.0341005368,25755.81908477232,-90371.54159704657,0.0,-0.12353718526537705,16756.634086455026,0.20827195729303963,-0.5974485408734242,3794367895.7642684
9,0.0,0.0,60000.0,23570.06603046458,0.0,72.44301437464338,-83570.06603046459,19196.14986934809,-83572.92094150983,0.0014093817134272618,0.17791691958450429,10746.624711041306,0.30392864277622733,-0.952394590304949,3794367895.7642684
10,50.0,50.0,60000.0,60045.0,33.0,0.0,-120045.0,64843.367608273344,-120053.30114270556,0.0074147567591269685,-1.4648174206395197,34313.87592821506,0.8917428996157496,0.4475285778433896,3826755210.180635
